"Modified Julian Date","Detection","Upper Limit","Error (low)","Error (high)"
56730.49997685198,0.000128,,0.000104,0.000152
56737.49997685198,0.000153,,0.000123,0.000183
56744.49997685198,0.000195,,0.000165,0.000225
56751.49997685198,0.000142,,0.000121,0.000163
56758.49997685198,0.000159,,0.00014,0.000178
56765.49997685198,0.000151,,0.000132,0.00017
56772.49997685198,0.000153,,0.000131,0.000175
56779.49997685198,0.0000872,,0.0000662,0.000108
56786.49997685198,0.000157,,0.000128,0.000186
56793.49997685198,0.000205,,0.000174,0.000236
56800.49997685198,0.000151,,0.00013,0.000172
56807.49997685198,0.000183,,0.000162,0.000204
56814.49997685198,0.000181,,0.00016,0.000202
56821.49997685198,0.000185,,0.00016,0.00021
56835.49997685198,0.000153,,0.000125,0.000181
56842.49997685198,0.000184,,0.000157,0.000211
56849.49997685198,0.000136,,0.00011,0.000162
56856.49997685198,0.000103,,0.0000821,0.000124
56863.49997685198,0.000137,,0.000112,0.000162
56870.49997685198,0.0000883,,0.0000719,0.000105
56877.49997685198,0.0000846,,0.0000653,0.000104
56884.49997685198,0.0000497,,0.0000297,0.0000697
56891.49997685198,0.0000557,,0.0000394,0.000072
56898.49997685198,0.0000329,,0.0000166,0.0000492
56905.49997685198,0.0000795,,0.0000627,0.0000963
56912.49997685198,0.00009,,0.0000729,0.000107
56919.49997685198,0.0000931,,0.0000772,0.000109
56926.49997685198,0.000117,,0.0000987,0.000135
56933.49997685198,0.00012,,0.0000979,0.000142
56940.49997685198,0.000148,,0.000118,0.000178
56947.49997685198,0.000117,,0.0000891,0.000145
56954.49997685198,0.0000966,,0.0000713,0.000122
56961.49997685198,0.0000484,,0.0000326,0.0000642
56975.49997685198,0.0000712,,0.0000573,0.0000851
56982.49997685198,0.0000271,,0.0000167,0.0000375
57003.49997685198,0.000103,,0.0000782,0.000128
57010.49997685198,0.0000855,,0.0000658,0.000105
57017.49997685198,0.0000586,,0.0000448,0.0000724
57024.49997685198,0.000086,,0.0000714,0.000101
57038.49997685198,0.000127,,0.000106,0.000148
57045.49997685198,0.000121,,0.0000979,0.000144
57052.49997685198,0.0000634,,0.0000443,0.0000825
57066.49997685198,0.0000555,,0.0000417,0.0000693
57080.49997685198,0.000103,,0.0000894,0.000117
57087.49997685198,0.0000737,,0.0000584,0.000089
57094.49997685198,0.000133,,0.000107,0.000159
57101.49997685198,0.000259,,0.000228,0.00029
57108.49997685198,0.000148,,0.000117,0.000179
57115.49997685198,0.000213,,0.000188,0.000238
57122.49997685198,0.000226,,0.000203,0.000249
57129.49997685198,0.000189,,0.000172,0.000206
57143.49997685198,0.000156,,0.000135,0.000177
57150.49997685198,0.00014,,0.000114,0.000166
57157.49997685198,0.000162,,0.000135,0.000189
57164.49997685198,0.000171,,0.000142,0.0002
57171.49997685198,0.000136,,0.000114,0.000158
57178.49997685198,0.00014,,0.000122,0.000158
57185.49997685198,0.000143,,0.000124,0.000162
57192.49997685198,0.000167,,0.000142,0.000192
57199.49997685198,0.000269,,0.000242,0.000296
57206.499965277966,0.00019,,0.000156,0.000224
57213.499965277966,0.000225,,0.000199,0.000251
57220.499965277966,0.000258,,0.000233,0.000283
57227.499965277966,0.000174,,0.000152,0.000196
57234.499965277966,0.000111,,0.0000939,0.000128
57241.499965277966,0.000152,,0.000136,0.000168
57248.499965277966,0.000141,,0.00012,0.000162
57255.499965277966,0.000189,,0.000162,0.000216
57262.499965277966,0.000191,,0.000162,0.00022
57269.499965277966,0.000188,,0.000161,0.000215
57276.499965277966,0.000272,,0.000243,0.000301
57283.499965277966,0.000236,,0.000214,0.000258
57290.499965277966,0.000174,,0.000155,0.000193
57297.499965277966,0.000167,,0.000146,0.000188
57304.499965277966,0.000184,,0.000161,0.000207
57311.499965277966,0.000173,,0.000149,0.000197
57318.499965277966,0.000164,,0.000136,0.000192
57325.499965277966,0.000171,,0.000145,0.000197
57332.499965277966,0.000166,,0.000148,0.000184
57339.499965277966,0.000169,,0.00015,0.000188
57346.499965277966,0.000191,,0.000171,0.000211
57353.499965277966,0.000161,,0.000139,0.000183
57360.499965277966,0.000138,,0.000113,0.000163
57367.499965277966,0.000124,,0.0000959,0.000152
57374.499965277966,0.000104,,0.0000802,0.000128
57381.499965277966,0.00012,,0.0000978,0.000142
57388.499965277966,0.000154,,0.000136,0.000172
57395.499965277966,0.0000813,,0.0000647,0.0000979
57402.499965277966,0.000075,,0.0000586,0.0000914
57409.499965277966,0.0000773,,0.0000596,0.000095
57416.499965277966,0.0000439,,0.0000285,0.0000593
57423.499965277966,0.0000575,,0.0000389,0.0000761
57430.499965277966,0.000051,,0.0000345,0.0000675
57437.499965277966,0.0000261,,0.0000159,0.0000363
57444.499965277966,0.0000221,,0.0000129,0.0000313
57451.499965277966,0.0000275,,0.0000175,0.0000375
57458.499965277966,0.0000471,,0.0000341,0.0000601
57465.499965277966,0.0000325,,0.0000195,0.0000455
57472.499965277966,0.0000228,,0.0000077,0.0000379
57479.499965277966,,0.0000308,,
57486.499965277966,,0.0000261,,
57493.499965277966,0.0000299,,0.0000191,0.0000407
57500.499965277966,0.0000534,,0.0000414,0.0000654
57507.499965277966,0.000102,,0.0000848,0.000119
57514.499965277966,0.000188,,0.000167,0.000209
57521.499965277966,0.000173,,0.000143,0.000203
57528.499965277966,0.000221,,0.000187,0.000255
57535.499965277966,0.000164,,0.000135,0.000193
57542.499965277966,0.000184,,0.00016,0.000208
57549.499965277966,0.000154,,0.000135,0.000173
57556.499965277966,0.000158,,0.00014,0.000176
57563.499965277966,0.000148,,0.000131,0.000165
57570.499965277966,0.000119,,0.0000977,0.00014
